NU_ANO_CENSO|CO_OCDE_AREA_GERAL|NO_OCDE_AREA_GERAL|CO_OCDE_AREA_ESPECIFICA|NO_OCDE_AREA_ESPECIFICA|CO_OCDE_AREA_DETALHADA|NO_OCDE_AREA_DETALHADA|CO_OCDE|NO_OCDE
2017|2|Humanidades e artes|21|Artes|212|Música e artes cênicas|212T01|Teatro
2017|2|Humanidades e artes|21|Artes|213|Técnicas audiovisuais e produção de mídia|213A02|Animação
2017|2|Humanidades e artes|21|Artes|213|Técnicas audiovisuais e produção de mídia|213A04|Artes gráficas
2017|2|Humanidades e artes|21|Artes|213|Técnicas audiovisuais e produção de mídia|213C01|Cinematografia
2017|4|Ciências, matemática e computação|46|Matemática e estatística|462|Estatística|462E04|Estatística não paramétrica
2017|3|Ciências sociais, negócios e direito|32|Jornalismo e informação|321|Jornalismo e reportagem|321N01|Noticiário e reportagem
2017|3|Ciências sociais, negócios e direito|32|Jornalismo e informação|321|Jornalismo e reportagem|321P01|Produção editorial
2017|3|Ciências sociais, negócios e direito|32|Jornalismo e informação|321|Jornalismo e reportagem|321P02|Publicação (disseminação de mensagens)
2017|3|Ciências sociais, negócios e direito|32|Jornalismo e informação|321|Jornalismo e reportagem|321R01|Rádio e tele-jornalismo
2017|3|Ciências sociais, negócios e direito|32|Jornalismo e informação|322|Biblioteconomia, informação, arquivos|322B01|Biblioteconomia
2017|3|Ciências sociais, negócios e direito|32|Jornalismo e informação|322|Biblioteconomia, informação, arquivos|322C01|Ciência da informação
2017|3|Ciências sociais, negócios e direito|32|Jornalismo e informação|322|Biblioteconomia, informação, arquivos|322D02|Documentação museológica
2017|3|Ciências sociais, negócios e direito|34|Comércio e administração|340|Comércio e administração (cursos gerais)|340C01|Comércio
2017|3|Ciências sociais, negócios e direito|34|Comércio e administração|340|Comércio e administração (cursos gerais)|340N02|Negócios internacionais
2017|3|Ciências sociais, negócios e direito|34|Comércio e administração|340|Comércio e administração (cursos gerais)|340P01|Planejamento administrativo
2017|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|145F19|Formação de professor de matérias pedagógicas
2017|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|145F20|Formação de professor de psicologia
2017|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|145F21|Formação de professor de química
2017|1|Educação|14|Formação de professor e ciências da educação|146|Formação de professor de disciplinas profissionais|146F01|Formação de professor de agronomia
2017|1|Educação|14|Formação de professor e ciências da educação|146|Formação de professor de disciplinas profissionais|146F02|Formação de professor de artes (educação artística)
2017|1|Educação|14|Formação de professor e ciências da educação|146|Formação de professor de disciplinas profissionais|146F03|Formação de professor de artes plásticas
2017|1|Educação|14|Formação de professor e ciências da educação|146|Formação de professor de disciplinas profissionais|146F04|Formação de professor de artes visuais
2017|1|Educação|14|Formação de professor e ciências da educação|146|Formação de professor de disciplinas profissionais|146F05|Formação de professor de computação (informática)
2017|1|Educação|14|Formação de professor e ciências da educação|146|Formação de professor de disciplinas profissionais|146F07|Formação de professor de dança
2017|1|Educação|14|Formação de professor e ciências da educação|146|Formação de professor de disciplinas profissionais|146F08|Formação de professor de disciplinas do setor de serviços
2017|1|Educação|14|Formação de professor e ciências da educação|146|Formação de professor de disciplinas profissionais|146F10|Formação de professor de disciplinas do setor secundário (indústria)
2017|1|Educação|14|Formação de professor e ciências da educação|146|Formação de professor de disciplinas profissionais|146F11|Formação de professor de disciplinas do setor terciário (comércio)
2017|1|Educação|14|Formação de professor e ciências da educação|146|Formação de professor de disciplinas profissionais|146F42|Formação de professor de secretariado
2017|1|Educação|14|Formação de professor e ciências da educação|146|Formação de professor de disciplinas profissionais|146F43|Formação de professor de tradução e interpretação
2017|1|Educação|14|Formação de professor e ciências da educação|146|Formação de professor de disciplinas profissionais|146F44|Formação de professor de psicomotricidade
2017|8|Serviços|85|Proteção ambiental|853|Serviços comunitários de saneamento|853H01|Higiene  comunitária
2017|8|Serviços|85|Proteção ambiental|853|Serviços comunitários de saneamento|853S01|Saneamento comunitário
2017|8|Serviços|86|Serviços de segurnça|861|Proteção de pessoas e de propriedades|861P01|Proteção contra o fogo e combate a incêndios
2017|8|Serviços|86|Serviços de segurnça|862|Saúde e segurança do trabalho|862S01|Saúde e segurança no trabalho
2017|7|Saúde e bem estar social|72|Saúde|726|Terapia e reabilitação|726R03|Reflexologia
2017|7|Saúde e bem estar social|72|Saúde|727|Farmácia|727F03|Farmácia bromatológica
2017|7|Saúde e bem estar social|76|Serviço social|761|Atendimento à criança e serviços para os jovens|761A02|Atendimento aos jovens
2017|7|Saúde e bem estar social|76|Serviço social|762|Serviço social e orientação|762A03|Aconselhamento e orientação profissional
2017|2|Humanidades e artes|22|Humanidades e letras|225|História e arqueologia|225H01|História
2017|2|Humanidades e artes|22|Humanidades e letras|225|História e arqueologia|225H05|História e filosofia da ciência e da tecnologia
2017|2|Humanidades e artes|22|Humanidades e letras|226|Filosofia e ética|226M01|Moral
2017|3|Ciências sociais, negócios e direito|31|Ciências sociais e comportamentais|311|Psicologia|311P01|Psicanálise
2017|3|Ciências sociais, negócios e direito|31|Ciências sociais e comportamentais|311|Psicologia|311P04|Psicologia infantil
2017|3|Ciências sociais, negócios e direito|31|Ciências sociais e comportamentais|312|Sociologia e estudos culturais|312D01|Demografia / estudos populacionais
2017|3|Ciências sociais, negócios e direito|31|Ciências sociais e comportamentais|312|Sociologia e estudos culturais|312G02|Geografia humana
2017|2|Humanidades e artes|21|Artes|211|Belas artes|211P02|Pintura e gravura
2017|2|Humanidades e artes|21|Artes|212|Música e artes cênicas|212A03|Artes líricas
2017|2|Humanidades e artes|21|Artes|212|Música e artes cênicas|212C06|Coreografia
2017|2|Humanidades e artes|21|Artes|212|Música e artes cênicas|212E01|Elocução
2017|2|Humanidades e artes|21|Artes|212|Música e artes cênicas|212I02|Interpretação teatral
2017|2|Humanidades e artes|21|Artes|212|Música e artes cênicas|212R01|Regência (musical)
