NU_ANO_CENSO|CO_OCDE_AREA_GERAL|NO_OCDE_AREA_GERAL|CO_OCDE_AREA_ESPECIFICA|NO_OCDE_AREA_ESPECIFICA|CO_OCDE_AREA_DETALHADA|NO_OCDE_AREA_DETALHADA|CO_OCDE|NO_OCDE
2017|5|Engenharia, produção e construção|58|Arquitetura e construção|581|Arquitetura e urbanismo|581P01|Paisagismo
2017|5|Engenharia, produção e construção|58|Arquitetura e construção|581|Arquitetura e urbanismo|581P03|Planejamento de cidade e campo
2017|5|Engenharia, produção e construção|58|Arquitetura e construção|581|Arquitetura e urbanismo|581P04|Planejamento de cidades
2017|5|Engenharia, produção e construção|58|Arquitetura e construção|581|Arquitetura e urbanismo|581P07|Planejamento urbano e regional
2017|5|Engenharia, produção e construção|58|Arquitetura e construção|581|Arquitetura e urbanismo|581U01|Urbanismo
2017|2|Humanidades e artes|21|Artes|210|Artes (cursos gerais)|210A01|Artes
2017|3|Ciências sociais, negócios e direito|34|Comércio e administração|342|Marketing e publicidade|342P02|Publicidade e propaganda
2017|3|Ciências sociais, negócios e direito|34|Comércio e administração|345|Gerenciamento e administração|345G18|Gestão de serviços
2017|4|Ciências, matemática e computação|42|Ciências|421|Biologia e bioquímica|421B10|Botânica
2017|3|Ciências sociais, negócios e direito|31|Ciências sociais e comportamentais|311|Psicologia|311P02|Psicologia
